x_mm y_mm
0.000000 0.000000
1.506194 -4.490403
3.012388 -6.398650
4.518582 -7.665215
6.024776 -8.794713
7.530970 -9.671902
9.037164 -10.473098
10.543357 -11.278112
12.049551 -11.982014
13.555745 -12.563641
15.061939 -13.107550
16.568133 -13.652879
18.074327 -14.198938
19.580521 -14.669968
21.086715 -15.050835
22.592909 -15.404105
24.099103 -15.757890
25.605297 -16.111829
27.111491 -16.465768
28.617685 -16.769465
30.123878 -16.998675
31.630072 -17.200902
33.136266 -17.403268
34.642460 -17.605634
36.148654 -17.808000
37.654848 -18.010366
39.161042 -18.176222
40.667236 -18.283005
42.173430 -18.368929
43.679624 -18.454853
45.185818 -18.540778
46.692012 -18.626702
48.198206 -18.712626
49.704400 -18.798628
51.210593 -18.851332
52.716787 -18.859936
54.222981 -18.866598
55.729175 -18.873261
57.235369 -18.879924
58.741563 -18.886587
60.247757 -18.893249
61.753951 -18.900053
63.260145 -18.892733
64.766339 -18.860561
66.272533 -18.820972
67.778727 -18.781383
69.284921 -18.741794
70.791114 -18.702205
72.297308 -18.662616
73.803502 -18.623027
75.309696 -18.583712
76.815890 -18.529455
78.322084 -18.453727
79.828278 -18.377733
81.334472 -18.301738
82.840666 -18.225744
84.346860 -18.149749
85.853054 -18.073754
87.359248 -17.997760
88.865442 -17.921871
90.371635 -17.836975
91.877829 -17.735530
93.384023 -17.628617
94.890217 -17.521704
96.396411 -17.414791
97.902605 -17.307878
99.408799 -17.200965
100.914993 -17.094052
102.421187 -16.987139
103.927381 -16.880428
105.433575 -16.762483
106.939769 -16.629296
108.445963 -16.495842
109.952157 -16.362387
111.458350 -16.228932
112.964544 -16.095478
114.470738 -15.962023
115.976932 -15.828569
117.483126 -15.695114
118.989320 -15.561817
120.495514 -15.419203
122.001708 -15.264329
123.507902 -15.108560
125.014096 -14.952791
126.520290 -14.797023
128.026484 -14.641254
129.532678 -14.485485
131.038871 -14.329716
132.545065 -14.173947
134.051259 -14.018224
135.557453 -13.856588
137.063647 -13.685071
138.569841 -13.509928
140.076035 -13.334784
141.582229 -13.159640
143.088423 -12.984497
144.594617 -12.809353
146.100811 -12.634210
147.607005 -12.459066
149.113199 -12.283923
150.619392 -12.106761
152.125586 -11.921465
153.631780 -11.730242
155.137974 -11.539019
156.644168 -11.347797
158.150362 -11.156574
159.656556 -10.965351
161.162750 -10.774128
162.668944 -10.582905
164.175138 -10.391682
165.681332 -10.200540
167.187526 -10.002664
168.693720 -9.798136
170.199914 -9.592819
171.706107 -9.387501
173.212301 -9.182184
174.718495 -8.976866
176.224689 -8.771548
177.730883 -8.566231
179.237077 -8.360913
180.743271 -8.155598
182.249465 -7.946019
183.755659 -7.730467
185.261853 -7.512857
186.768047 -7.295247
188.274241 -7.077637
189.780435 -6.860027
191.286628 -6.642417
192.792822 -6.424807
194.299016 -6.207197
195.805210 -5.989588
197.311404 -5.768276
198.817598 -5.541771
200.323792 -5.313512
201.829986 -5.085253
203.336180 -4.856994
204.842374 -4.628735
206.348568 -4.400476
207.854762 -4.172217
209.360956 -3.943958
210.867149 -3.715741
212.373343 -3.482240
213.879537 -3.245241
215.385731 -3.007824
216.891925 -2.770407
218.398119 -2.532990
219.904313 -2.295573
221.410507 -2.058156
222.916701 -1.820740
224.422895 -1.583323
225.929089 -1.342074
227.435283 -1.096654
228.941477 -0.850194
230.447671 -0.603733
231.953864 -0.357273
233.460058 -0.110812
234.966252 0.135648
236.472446 0.382108
237.978640 0.628540
239.484834 0.880305
240.991028 1.134496
242.497222 1.388903
244.003416 1.643310
245.509610 1.897716
247.015804 2.152123
248.521998 2.406529
250.028192 2.660933
251.534385 2.920190
253.040579 3.181834
254.546773 3.443761
256.052967 3.705688
257.559161 3.967615
259.065355 4.229542
260.571549 4.491470
262.077743 4.756082
263.583937 5.024324
265.090131 5.293168
266.596325 5.562012
268.102519 5.830856
269.608713 6.099700
271.114906 6.368533
272.621100 6.642813
274.127294 6.918301
275.633488 7.193845
277.139682 7.469388
278.645876 7.744932
280.152070 8.021805
281.658264 8.302330
283.164458 8.583229
284.670652 8.864128
286.176846 9.145026
287.683040 9.428586
289.189234 9.714434
290.695428 10.000431
292.201621 10.286428
293.707815 10.575463
295.214009 10.865227
296.720203 11.155416
298.226397 11.447814
299.732591 11.739845
