x_mm y_mm
0.000000 0.000000
1.507450 2.782782
3.014900 3.956169
4.522350 5.013710
6.029799 5.665442
7.537249 6.251987
9.044699 6.833356
10.552149 7.233730
12.059599 7.617905
13.567049 7.993594
15.074499 8.349212
16.581948 8.641281
18.089398 8.933020
19.596848 9.215767
21.104298 9.492940
22.611748 9.745824
24.119198 9.987585
25.626648 10.229346
27.134097 10.470817
28.641547 10.705313
30.148997 10.930517
31.656447 11.146826
33.163897 11.363136
34.671347 11.579446
36.178797 11.795756
37.686246 12.011636
39.193696 12.218326
40.701146 12.410956
42.208596 12.603585
43.716046 12.796215
45.223496 12.988844
46.730946 13.181474
48.238395 13.373793
49.745845 13.559078
51.253295 13.717087
52.760745 13.874865
54.268195 14.032644
55.775645 14.190423
57.283095 14.348202
58.790544 14.505980
60.297994 14.663128
61.805444 14.807949
63.312894 14.917910
64.820344 15.027021
66.327794 15.136132
67.835244 15.245243
69.342693 15.354355
70.850143 15.463466
72.357593 15.572577
73.865043 15.680362
75.372493 15.766771
76.879943 15.831533
78.387393 15.896264
79.894842 15.960995
81.402292 16.025726
82.909742 16.090457
84.417192 16.155189
85.924642 16.219920
87.432092 16.284126
88.939542 16.338852
90.446991 16.366753
91.954441 16.394034
93.461891 16.421315
94.969341 16.448596
96.476791 16.475877
97.984241 16.503158
99.491691 16.530439
100.999140 16.557721
102.506590 16.584012
104.014040 16.595023
105.521490 16.590425
107.028940 16.585795
108.536390 16.581166
110.043840 16.576537
111.551289 16.571908
113.058739 16.567278
114.566189 16.562649
116.073639 16.558020
117.581089 16.552661
119.088539 16.535728
120.595989 16.503978
122.103438 16.472121
123.610888 16.440263
125.118338 16.408406
126.625788 16.376549
128.133238 16.344691
129.640688 16.312834
131.148138 16.280977
132.655587 16.248922
134.163037 16.212712
135.670487 16.158165
137.177937 16.103162
138.685387 16.048160
140.192837 15.993158
141.700287 15.938155
143.207736 15.883153
144.715186 15.828151
146.222636 15.773149
147.730086 15.718146
149.237536 15.662319
150.744986 15.593211
152.252436 15.518620
153.759885 15.444028
155.267335 15.369437
156.774785 15.294846
158.282235 15.220254
159.789685 15.145663
161.297135 15.071071
162.804585 14.996480
164.312034 14.921616
165.819484 14.841552
167.326934 14.750673
168.834384 14.659678
170.341834 14.568684
171.849284 14.477690
173.356734 14.386696
174.864183 14.295701
176.371633 14.204707
177.879083 14.113713
179.386533 14.022713
180.893983 13.930861
182.401433 13.825197
183.908883 13.719206
185.416332 13.613214
186.923782 13.507222
188.431232 13.401231
189.938682 13.295239
191.446132 13.189247
192.953582 13.083255
194.461031 12.977264
195.968481 12.870753
197.475931 12.753644
198.983381 12.635455
200.490831 12.517267
201.998281 12.399079
203.505731 12.280890
205.013180 12.162702
206.520630 12.044513
208.028080 11.926325
209.535530 11.808050
211.042980 11.687427
212.550430 11.557618
214.057880 11.427725
215.565329 11.297832
217.072779 11.167939
218.580229 11.038046
220.087679 10.908153
221.595129 10.778260
223.102579 10.648367
224.610029 10.518160
226.117478 10.379583
227.624928 10.239726
229.132378 10.099869
230.639828 9.960011
232.147278 9.820154
233.654728 9.680297
235.162178 9.540439
236.669627 9.400543
238.177077 9.259182
239.684527 9.109228
241.191977 8.959214
242.699427 8.809201
244.206877 8.659187
245.714327 8.509173
247.221776 8.359160
248.729226 8.209143
250.236676 8.058803
251.744126 7.900496
253.251576 7.742093
254.759026 7.583690
256.266476 7.425287
257.773925 7.266884
259.281375 7.108481
260.788825 6.949966
262.296275 6.786045
263.803725 6.618862
265.311175 6.451679
266.818625 6.284497
268.326074 6.117314
269.833524 5.950125
271.340974 5.782419
272.848424 5.607738
274.355874 5.433026
275.863324 5.258314
277.370774 5.083602
278.878223 4.908863
280.385673 4.731744
281.893123 4.550541
283.400573 4.369338
284.908023 4.188134
286.415473 4.006904
287.922923 3.822061
289.430372 3.635057
290.937822 3.448053
292.445272 3.261032
293.952722 3.069878
295.460172 2.878165
296.967622 2.685821
298.475072 2.490614
299.982521 2.295938
