x_mm y_mm
0.000000 0.000000
1.502488 2.446115
3.004975 3.571157
4.507463 4.535954
6.009950 5.174521
7.512438 5.781856
9.014925 6.336380
10.517413 6.762247
12.019900 7.185424
13.522388 7.603019
15.024876 7.986554
16.527363 8.329496
18.029851 8.672721
19.532338 9.016561
21.034826 9.351145
22.537313 9.667049
24.039801 9.976473
25.542288 10.285897
27.044776 10.595568
28.547264 10.903427
30.049751 11.204630
31.552239 11.501066
33.054726 11.797502
34.557214 12.093938
36.059701 12.390375
37.562189 12.685400
39.064676 12.973298
40.567164 13.255794
42.069652 13.538290
43.572139 13.820786
45.074627 14.103282
46.577114 14.385778
48.079602 14.665169
49.582089 14.929684
51.084577 15.184957
52.587064 15.440237
54.089552 15.695518
55.592040 15.950799
57.094527 16.206079
58.597015 16.461360
60.099502 16.710286
61.601990 16.934947
63.104477 17.147660
64.606965 17.360399
66.109452 17.573138
67.611940 17.785878
69.114428 17.998617
70.616915 18.211356
72.119403 18.424095
73.621890 18.623459
75.124378 18.803383
76.626865 18.977060
78.129353 19.150738
79.631840 19.324416
81.134328 19.498093
82.636816 19.671771
84.139303 19.845449
85.641791 20.019127
87.144278 20.187496
88.646766 20.335959
90.149253 20.476783
91.651741 20.617622
93.154228 20.758462
94.656716 20.899301
96.159204 21.040141
97.661691 21.180981
99.164179 21.321820
100.666666 21.462660
102.169154 21.593494
103.671641 21.710486
105.174129 21.823436
106.676616 21.936388
108.179104 22.049339
109.681592 22.162291
111.184079 22.275242
112.686567 22.388194
114.189054 22.501145
115.691542 22.614097
117.194029 22.719678
118.696517 22.812846
120.199004 22.902032
121.701492 22.991221
123.203980 23.080410
124.706467 23.169599
126.208955 23.258788
127.711442 23.347978
129.213930 23.437167
130.716417 23.526356
132.218905 23.613555
133.721392 23.688083
135.223880 23.757131
136.726368 23.826191
138.228855 23.895251
139.731343 23.964311
141.233830 24.033370
142.736318 24.102430
144.238805 24.171490
145.741293 24.240550
147.243780 24.309610
148.746268 24.370534
150.248756 24.424165
151.751243 24.476195
153.253731 24.528225
154.756218 24.580256
156.258706 24.632286
157.761193 24.684317
159.263681 24.736347
160.766168 24.788378
162.268656 24.840408
163.771144 24.889683
165.273631 24.931294
166.776119 24.969126
168.278606 25.006961
169.781094 25.044797
171.283581 25.082632
172.786069 25.120468
174.288556 25.158303
175.791044 25.196139
177.293532 25.233974
178.796019 25.271755
180.298507 25.302183
181.800994 25.327003
183.303482 25.351835
184.805969 25.376667
186.308457 25.401498
187.810944 25.426330
189.313432 25.451162
190.815920 25.475994
192.318407 25.500826
193.820895 25.525658
195.323382 25.545463
196.825870 25.560130
198.328357 25.574444
199.830845 25.588757
201.333332 25.603071
202.835820 25.617384
204.338308 25.631698
205.840795 25.646012
207.343283 25.660325
208.845770 25.673771
210.348258 25.682435
211.850745 25.686587
213.353233 25.690742
214.855720 25.694898
216.358208 25.699054
217.860696 25.703210
219.363183 25.707366
220.865671 25.711521
222.368158 25.715677
223.870646 25.716817
225.373133 25.713010
226.875621 25.708613
228.378108 25.704215
229.880596 25.699817
231.383084 25.695420
232.885571 25.691022
234.388059 25.686624
235.890546 25.681836
237.393034 25.673722
238.895521 25.660521
240.398009 25.647324
241.900496 25.634127
243.402984 25.620930
244.905472 25.607733
246.407959 25.594536
247.910447 25.581308
249.412934 25.566028
250.915422 25.545629
252.417909 25.525235
253.920397 25.504841
255.422884 25.484447
256.925372 25.464053
258.427860 25.443659
259.930347 25.422191
261.432835 25.396400
262.935322 25.368414
264.437810 25.340428
265.940297 25.312442
267.442785 25.284456
268.945272 25.256402
270.447760 25.227014
271.950248 25.192572
273.452735 25.158132
274.955223 25.123692
276.457710 25.089252
277.960198 25.054552
279.462685 25.017631
280.965173 24.977601
282.467660 24.937571
283.970148 24.897541
285.472636 24.857253
286.975123 24.813959
288.477611 24.768958
289.980098 24.723957
291.482586 24.678790
292.985073 24.630186
294.487561 24.581113
295.990048 24.531462
297.492536 24.479389
298.995024 24.427766
298.995024 23.664806
297.492536 23.298880
295.990048 22.932658
294.487561 22.568751
292.985073 22.205315
291.482586 21.842817
289.980098 21.483408
288.477611 21.123998
286.975123 20.764924
285.472636 20.408370
283.970148 20.054434
282.467660 19.700498
280.965173 19.346562
279.462685 18.993464
277.960198 18.644022
276.457710 18.295844
274.955223 17.947667
273.452735 17.599489
271.950248 17.251433
270.447760 16.905555
268.945272 16.564564
267.442785 16.223570
265.940297 15.882577
264.437810 15.541584
262.935322 15.200591
261.432835 14.860941
259.930347 14.525119
258.427860 14.191568
256.925372 13.858017
255.422884 13.524467
253.920397 13.190916
252.417909 12.857365
250.915422 12.524432
249.412934 12.195190
247.910447 11.869696
246.407959 11.544202
244.905472 11.218708
243.402984 10.893214
241.900496 10.567720
240.398009 10.242226
238.895521 9.917202
237.393034 9.596569
235.890546 9.279622
234.388059 8.962671
232.885571 8.645721
231.383084 8.328771
229.880596 8.011820
228.378108 7.694870
226.875621 7.377920
225.373133 7.063255
223.870646 6.753684
222.368158 6.446409
220.865671 6.139134
219.363183 5.831859
217.860696 5.524584
216.358208 5.217309
214.855720 4.910034
213.353233 4.602759
211.850745 4.296393
210.348258 3.996366
208.845770 3.698930
207.343283 3.401491
205.840795 3.104052
204.338308 2.806612
202.835820 2.509173
201.333332 2.211734
199.830845 1.914295
198.328357 1.616856
196.825870 1.323249
195.323382 1.035825
193.820895 0.749778
192.318407 0.463731
190.815920 0.177683
189.313432 -0.108364
187.810944 -0.394411
186.308457 -0.680458
184.805969 -0.966505
183.303482 -1.252552
181.800994 -1.534127
180.298507 -1.808025
178.796019 -2.080906
177.293532 -2.353788
175.791044 -2.626669
174.288556 -2.899551
172.786069 -3.172432
171.283581 -3.445313
169.781094 -3.718195
168.278606 -3.991076
166.776119 -4.262242
165.273631 -4.520675
163.771144 -4.778493
162.268656 -5.036312
160.766168 -5.294131
159.263681 -5.551950
157.761193 -5.809769
156.258706 -6.067588
154.756218 -6.325407
153.253731 -6.583226
151.751243 -6.840751
150.248756 -7.085740
148.746268 -7.326368
147.243780 -7.566996
145.741293 -7.807624
144.238805 -8.048252
142.736318 -8.288880
141.233830 -8.529508
139.731343 -8.770136
138.228855 -9.010764
136.726368 -9.250772
135.223880 -9.482933
133.721392 -9.702867
132.218905 -9.922816
130.716417 -10.142764
129.213930 -10.362713
127.711442 -10.582662
126.208955 -10.802611
124.706467 -11.022559
123.203980 -11.242508
121.701492 -11.462222
120.199004 -11.677302
118.696517 -11.873400
117.194029 -12.069547
115.691542 -12.265694
114.189054 -12.461841
112.686567 -12.657988
111.184079 -12.854135
109.681592 -13.050282
108.179104 -13.246429
106.676616 -13.442488
105.174129 -13.633083
103.671641 -13.800911
102.169154 -13.968803
100.666666 -14.136694
99.164179 -14.304586
97.661691 -14.472477
96.159204 -14.640368
94.656716 -14.808260
93.154228 -14.976151
91.651741 -15.142053
90.149253 -15.295413
88.646766 -15.430407
87.144278 -15.565434
85.641791 -15.700461
84.139303 -15.835488
82.636816 -15.970515
81.134328 -16.105542
79.631840 -16.240570
78.129353 -16.375497
76.626865 -16.501975
75.124378 -16.598292
73.621890 -16.694695
72.119403 -16.791097
70.616915 -16.887499
69.114428 -16.983901
67.611940 -17.080304
66.109452 -17.176706
64.606965 -17.270463
63.104477 -17.346594
61.601990 -17.394210
60.099502 -17.441868
58.597015 -17.489527
57.094527 -17.537186
55.592040 -17.584845
54.089552 -17.632504
52.587064 -17.679562
51.084577 -17.710704
49.582089 -17.676391
48.079602 -17.642103
46.577114 -17.607815
45.074627 -17.573527
43.572139 -17.539239
42.069652 -17.504951
40.567164 -17.466373
39.064676 -17.384247
37.562189 -17.230958
36.059701 -17.077668
34.557214 -16.924379
33.054726 -16.771090
31.552239 -16.617801
30.049751 -16.464191
28.547264 -16.254084
27.044776 -15.948310
25.542288 -15.641418
24.039801 -15.334525
22.537313 -15.027684
21.034826 -14.720954
19.532338 -14.355778
18.029851 -13.875273
16.527363 -13.375101
15.024876 -12.875170
13.522388 -12.375374
12.019900 -11.797100
10.517413 -11.086847
9.014925 -10.327383
7.512438 -9.568246
6.009950 -8.654931
4.507463 -7.546302
3.004975 -6.274099
1.502488 -4.077612
